Date;Temperature_min;Temperature_max;Temperature_moy;Precipitations;Ensoleillement
2021-01-01;0.6;4.1;2.0;0.0;2h30
2021-01-02;-0.3;4.7;2.0;0.0;6h00
2021-01-03;2.7;4.5;3.5;0.0;0h06
2021-01-04;2.6;3.7;3.0;0.2;0h00
2021-01-05;2.8;3.3;3.0;0.0;0h00
2021-01-06;2.8;4.4;3.5;0.0;0h00
2021-01-07;2.8;4.2;3.5;0.2;0h24
2021-01-08;1.5;4.6;3.0;0.0;0h18
2021-01-09;-0.2;4.6;2.0;0.0;6h18
2021-01-10;-0.6;4.6;1.5;0.0;7h30
2021-01-11;0.5;5.8;3.0;0.6;0h18
2021-01-12;4.4;9.8;7.0;5.2;0h00
2021-01-13;5.8;10.1;7.5;2.2;0h00
2021-01-14;9.0;11.3;10.0;2.2;0h12
2021-01-15;1.5;3.7;2.5;0.0;2h06
2021-01-16;-0.2;5.9;2.5;11.5;0h00
2021-01-17;1.0;7.9;4.0;0.6;2h36
2021-01-18;2.6;8.2;5.0;0.0;3h00
2021-01-19;4.7;7.4;6.0;2.8;0h24
2021-01-20;5.3;12.9;9.0;6.9;2h30
2021-01-21;5.8;10.2;8.0;13.3;0h12
2021-01-22;4.2;8.4;6.0;0.2;4h06
2021-01-23;2.9;6.1;4.5;4.6;0h24
2021-01-24;-0.6;2.9;1.0;2.4;0h42
2021-01-25;1.6;5.7;3.5;0.0;3h30
2021-01-26;1.0;4.7;2.5;3.4;1h48
2021-01-27;2.1;10.9;6.5;8.2;0h00
2021-01-28;8.0;14.3;11.0;4.4;0h30
2021-01-29;10.1;12.5;11.0;8.3;1h42
2021-01-30;7.2;13.6;10.0;6.6;1h36
2021-01-31;6.5;9.6;8.0;6.8;0h00
2021-02-01;8.2;10.3;9.0;2.6;0h06
2021-02-02;6.8;15.3;11.0;2.6;1h54
2021-02-03;9.2;13.2;11.0;6.9;1h06
2021-02-04;5.4;11.6;8.5;0.0;2h18
2021-02-05;7.0;12.3;9.5;2.4;2h00
2021-02-06;7.8;9.0;8.0;21.0;0h00
2021-02-07;1.0;5.2;3.0;1.2;0h00
2021-02-08;-0.9;0.5;0.0;0.0;0h00
2021-02-09;-2.9;-0.6;-1.5;1.8;0h00
2021-02-10;-5.7;-0.6;-3.0;0.2;7h00
2021-02-11;-4.7;1.0;-1.5;0.0;8h54
2021-02-12;-3.0;1.6;-0.5;0.0;3h00
2021-02-13;-4.8;0.6;-2.0;0.0;8h36
2021-02-14;-4.6;3.0;-0.5;0.2;5h24
2021-02-15;1.3;9.1;5.0;0.4;0h06
2021-02-16;6.2;11.9;9.0;0.2;3h12
2021-02-17;8.0;13.5;10.5;0.0;1h48
2021-02-18;7.0;10.6;8.5;7.6;0h18
2021-02-19;5.1;14.3;9.5;0.0;1h00
2021-02-20;7.6;18.6;13.0;0.0;6h42
2021-02-21;7.8;19.1;13.0;0.0;6h30
2021-02-22;10.0;15.4;12.5;0.0;0h00
2021-02-23;10.6;18.2;14.0;0.0;4h24
2021-02-24;9.7;20.0;14.5;0.2;9h48
2021-02-25;9.0;17.5;13.0;1.0;6h12
2021-02-26;7.9;12.6;10.0;0.6;3h36
2021-02-27;3.7;11.5;7.5;0.0;10h06
2021-02-28;3.5;11.6;7.5;0.0;10h06
2021-03-01;3.4;14.2;8.5;0.0;10h12
2021-03-02;4.8;17.2;11.0;0.0;8h42
2021-03-03;8.3;18.8;13.5;0.2;4h54
2021-03-04;9.0;12.3;10.5;1.0;2h00
